location,total_sqft,bath,price,BHK,price_per_sqft
1st block jayanagar,2850.0,4,428.0,4,15017.543859649122
1st block jayanagar,1630.0,3,194.0,3,11901.840490797545
1st block jayanagar,1875.0,2,235.0,3,12533.333333333334
1st block jayanagar,1200.0,2,130.0,3,10833.333333333334
1st block jayanagar,1235.0,2,148.0,2,11983.805668016194
1st block jayanagar,2750.0,4,413.0,4,15018.181818181818
1st block jayanagar,2450.0,4,368.0,4,15020.408163265307
1st phase jp nagar,1875.0,3,167.0,3,8906.666666666666
1st phase jp nagar,1500.0,5,85.0,5,5666.666666666667
1st phase jp nagar,2065.0,4,210.0,3,10169.49152542373
1st phase jp nagar,2059.0,3,225.0,3,10927.634774162214
1st phase jp nagar,1394.0,2,100.0,2,7173.601147776184
1st phase jp nagar,1077.0,2,93.0,2,8635.097493036212
1st phase jp nagar,839.907117,1,63.0,1,7500.829404211371
1st phase jp nagar,1566.0,2,180.0,2,11494.252873563219
1st phase jp nagar,840.0,2,50.0,1,5952.380952380952
1st phase jp nagar,1590.0,3,131.0,3,8238.993710691824
1st phase jp nagar,2180.0,3,210.0,3,9633.02752293578
1st phase jp nagar,1180.0,2,88.5,2,7500.0
1st phase jp nagar,1200.0,2,86.0,2,7166.666666666667
1st phase jp nagar,1394.0,2,85.0,2,6097.5609756097565
1st phase jp nagar,2077.0,3,175.0,3,8425.613866153106
1st phase jp nagar,1205.0,2,85.0,2,7053.941908713693
1st phase jp nagar,900.0,2,75.0,2,8333.333333333334
2nd stage nagarbhavi,1500.0,4,220.0,4,14666.666666666666
2nd stage nagarbhavi,1350.0,4,200.0,4,14814.814814814816
2nd stage nagarbhavi,1200.0,4,225.0,4,18750.0
2nd stage nagarbhavi,1500.0,3,230.0,4,15333.333333333334
5th block hbr layout,1206.0,2,56.0,2,4643.449419568822
5th block hbr layout,1270.0,2,70.0,3,5511.811023622047
5th block hbr layout,1312.0,2,69.0,2,5259.1463414634145
5th block hbr layout,1100.0,2,48.0,2,4363.636363636364
5th block hbr layout,3600.0,5,130.0,5,3611.1111111111113
5th block hbr layout,5100.0,5,300.0,6,5882.35294117647
5th phase jp nagar,1075.0,2,60.0,2,5581.395348837209
5th phase jp nagar,1150.0,3,52.5,2,4565.217391304348
5th phase jp nagar,1256.0,2,62.8,2,5000.0
5th phase jp nagar,1207.0,2,63.0,2,5219.552609776305
5th phase jp nagar,1725.0,2,100.0,3,5797.101449275362
5th phase jp nagar,1440.0,2,60.0,2,4166.666666666667
5th phase jp nagar,1700.0,2,100.0,3,5882.35294117647
5th phase jp nagar,2500.0,5,110.0,5,4400.0
5th phase jp nagar,600.0,1,30.0,1,5000.0
5th phase jp nagar,1390.0,2,65.0,2,4676.258992805755
5th phase jp nagar,1000.0,2,48.0,2,4800.0
5th phase jp nagar,1350.0,2,75.0,3,5555.555555555556
5th phase jp nagar,552.0,1,23.5,1,4257.246376811594
5th phase jp nagar,1200.0,2,51.0,2,4250.0
5th phase jp nagar,1030.0,2,57.0,2,5533.980582524272
5th phase jp nagar,1200.0,2,68.0,2,5666.666666666667
5th phase jp nagar,1190.0,2,61.8,2,5193.27731092437
5th phase jp nagar,4000.0,5,170.0,5,4250.0
5th phase jp nagar,1080.0,2,53.0,2,4907.407407407408
5th phase jp nagar,1041.0,2,54.0,2,5187.319884726225
5th phase jp nagar,812.0,2,42.0,2,5172.413793103448
5th phase jp nagar,1010.0,2,57.0,2,5643.564356435643
6th phase jp nagar,1192.0,2,74.0,2,6208.053691275168
6th phase jp nagar,1180.0,2,80.0,2,6779.661016949152
6th phase jp nagar,3245.0,4,250.0,4,7704.160246533128
6th phase jp nagar,1645.0,3,100.0,3,6079.0273556231
6th phase jp nagar,1140.0,2,65.0,2,5701.754385964912
6th phase jp nagar,2040.0,3,200.0,3,9803.921568627451
6th phase jp nagar,1213.0,2,63.0,2,5193.734542456719
6th phase jp nagar,1216.0,2,60.0,2,4934.210526315789
6th phase jp nagar,1460.0,2,80.0,2,5479.45205479452
6th phase jp nagar,2003.0,3,200.0,3,9985.022466300548
6th phase jp nagar,1810.0,3,131.0,3,7237.5690607734805
6th phase jp nagar,1515.0,2,135.0,3,8910.89108910891
6th phase jp nagar,1192.0,2,75.0,2,6291.946308724832
6th phase jp nagar,1280.0,2,88.0,2,6875.0
7th phase jp nagar,1080.0,2,72.0,2,6666.666666666667
7th phase jp nagar,1270.0,2,93.0,2,7322.834645669292
7th phase jp nagar,1420.0,2,100.0,3,7042.2535211267605
7th phase jp nagar,1850.0,3,150.0,3,8108.108108108108
7th phase jp nagar,1245.0,2,94.0,2,7550.2008032128515
